X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,,,,,,,
-118.5662717,42.6590867,0,02.04 Steens Mountain Special,"Join Oregon Field Guide's Jim Newman and the BLM's Jerry Hubbard in a tour of the remote Owyhee Uplands near Jordan Valley in southeastern Oregon. They find a thunder egg, or geode, as they hike to the top of Three Fingers Rock. From the summit they take in views of wild horses below, and Mahogany Mountain and Leslie Gulch in the distance. Then they visit the scenic Painted Canyon on their return trip.",2,4,2/4/91,,,,,,,,
-117.3016734,43.3137643,0,02.04 Touring Jordan Valley,"This remote section of southeastern Oregon is virtually unknown to most of us. You'll tour the geological treasures of the Jordan Craters, Leslie Gulch and the Owyhee uplands in this half–hour special report.",2,4,2/4/91,,,,,,,,
-118.1782373,43.2126871,0,02.05 Buckaroo,"A cowboy can do a little bit of everything, but a buckaroo sticks to tradition. That's the opinion of one Harney County buckaroo who rides out every day in silvers spurs, with an old-fashioned vest and a scarf around his neck. A buckaroo prefers a horse to a pickup truck, and he's highly skilled in roping, riding and branding. The word buckaroo comes from the Spanish vaqueros who were the first cattlemen in Oregon.",2,5,2/11/91,,,,,,,,
-118.6808216,43.1279095,0,02.05 Helicopter Ranching,"Dick and Patty Jenkins run the Barton Lake Ranch near Burns. They're cattle ranchers, but to cut back on the price of hiring cowboys, they use a helicopter to track and herd their cattle.",2,5,2/11/91,,,,,,,,
-122.7671308,43.9839839,0,02.05 Predator Control,"Ranchers in Lane County loose valuable livestock every spring when coyote packs swell with new pups. Coyotes cost farmers hundreds of dollars a year in sheep and other small livestock. To give local farms some much-needed relief government payed trappers have been employed to catch these troublesome predators. The expense of the program however, and the humaneness of the trapping, has sparked a debate about issues of predator control.",2,5,2/11/91,,,,,,,,
-119.3779443,45.9065652,0,02.06 Buffalo Ranching,"At a ranch near Umatilla, 300 buffalo graze the land. They're being raised for meat and to be sold as breed stock to other buffalo ranchers. They're easy to care for and their meat is healthier than beef.",2,6,2/18/91,,,,,,,,
-124.2084231,43.4172693,0,02.06 Contaminated Ballast,Foreign ships entering Coos Bay carry microscopic stowaways in their ballast water that could impact Oregon's coastal ecology. Dr. Jonathan Geller of the Oregon Institute of Marine Biology studies the water in these ships looking for the larvae and unhatched eggs of non-native species in an effort to prevent the establishment of new colonies in the bay.,2,6,2/18/91,,,,,,,,
-121.83009,45.4891333,0,02.06 High Lakes Fish Stocking,"Join the Oregon Department of Fish and Wildlife as it stocks a couple of high mountain lakes via helicopter. Around 400 lakes are stocked with 200,000 trout each year, keeping anglers happy. The department continues to explore new options for stocking the lakes. However, fish are not native to these high mountain lakes and the National Parks System is currently doing a study on the impact of the fish on native frogs and salamanders.",2,6,2/18/91,,,,,,,,
-122.7108346,45.5098966,0,02.06 Possums,They're an introduced species in Oregon and have been getting a bum rap for years. Find out the truth about possums.,2,6,2/18/91,,,,,,,,
-122.8068197,43.9238656,0,02.07 Dexter Dam's Salmon,The hatchery program at the Dexter Dam is so successful that there is a glut of salmon. There is some controversy over the handling of these salmon by the Army Corps of Engineers.,2,7,2/25/91,,,,,,,,
-123.9296195,45.9996629,0,02.07 Kite Flying,"A new fad for precision stunt kites had grown men practicing kite flying as a team. We travel with one team to the stunt kite Grand Nationals in Seaside, Oregon.",2,7,2/25/91,,,,,,,,
-122.748405,45.3869844,0,02.07 Tualatin River Cleanup,"The Tualatin River was a commercial waterway and later, a site for thousands of swimmers and boaters every summer. Then companies began dumping sewage into the river, and it became the most polluted river in Oregon. Now it's the object of a multi-million dollar cleanup project.",2,7,2/25/91,,,,,,,,
-124.0974941,44.046562,0,02.09 Darlingtonia,"On the coast of Oregon lives the darlingtonia, also known as a pitcher or cobra plant. This meat-eating plant is specially designed to capture its insect prey. The best place to see these bizarre plants is at the Darlingtonia Wayside near Florence.",2,9,3/18/91,,,,,,,,
